name,cluster
Trivarietal,0
Kona Red Bourbon,0
Kenya Gatuya,0
Kenya Gicherori,0
Jamaica Blue Mountain,0
Nyeri Hill Kenya,0
Ethiopia Wegida Natural,0
Honey Typica,0
Mexico Ozolotepec,0
Gesha Rebecca Natural,0
Nicaragua Yellow Pacamara Natural,0
Gachatha Kenya,0
Colombia Java El Eden,0
Colombia Tolima Geisha,0
Ethiopia Gatame Muka Natural,0
Ethiopia Gedeb Worka Sakaro,0
Yemen,0
El Floral Colombia,0
Colombia Pink Bourbon El Corazon,0
Esperanza Bourbon,0
Nano Challa #6 Ethiopia,0
Karani Kenya,0
El Salvador Las Mercedes La Avila,0
Ethiopia Kochere Washed Saona Lot,0
Kenya Karuthi AA,0
Brazil Recreio Selectivo,0
Kenya Ruthaka Peaberry,0
Mojave Vault Series Geisha Natural,0
Kenya Baragwi Guama AB,0
Ethiopia Washed Shantawene,0
Colombia La Cabana,0
Kenya Nyeri AA Hercules,0
Kenya Karindundu AB,0
Kenya Kiambu AB Top Lot,0
Ethiopia Hambela Alaka,0
Honduras Reserve Luis Nolasco Nanolot,0
Ethiopia Banko Gotiti,0
Ethiopia Sidamo,0
Colombia Asobombo Inza,0
Colombia La Victoria,0
Guatemala Carlos Rivas,0
Empress Kenya,0
Rwanda Gatare Natural,0
Nano Genji Agaro Gera,0
Kenya Kamgogo Small Lot Reserve,0
Ethiopia Keramo Washed,0
Rwanda Nyamagabe Kigeme Lot #4,0
Ethiopia Sidama Naia Bombe Dry Ferment Vertical Reserve,0
Kenya Nyeri Gathaithi,0
Cordillera del Fuego Costa Rica Anaerobic,0
Malaysia Sabah Honey,0
Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,0
Organic Ethiopia Yirgacheffe FTO,0
Kenya Nyeri Yerihar AA Top Lot 21/01,0
Colombia Pink Bourbon,0
Guatemala Concepción Buena Vista,0
Mbeguka Kenya,0
Ethiopia Herfusa Single Variety Natural,0
Puna Champagne Natural Anaerobic,0
Karamo Ethiopia,0
Kenya FSC AB,0
Ethiopia Mulegeta Sintayehu Washed,0
Guatemala (from bulk bin),0
Ethiopia Natural Yirgacheffe Blue Donkey Lot #2,0
Rukira Kenya,0
Ethiopia Natural Yirgacheffe Banko Gotiti,0
Kenya Karindudu AA,0
Kenya Kimaruri,0
Sumatra Pantan Musara,0
Ethiopia Yirgacheffe Chelelektu Natural,0
Burundi Mikuba Honey Microlot 1,0
Ethiopia Tamiru Tadesse Anaerobic,0
Kona Classic Black Rock Farm,0
Kenya Nyeri Gatomboya,0
Ka’u Giant Maragogipe,0
Peaberry Medium Roast,0
Typica Natural,0
Ethiopia Washed Yirgacheffe Nafasha Lot,0
Hawai’i Ka’u Typica Anaerobic Washed,0
Kenya Kiambu Uklili AA,0
Nano Genji #7,0
Rwanda Natural Rutsiro Bugoyi 60-hour Fermentation,0
Gesha Village 1931 Lot 27,0
Kenya Lenana AA Plus,0
Geisha XO,0
Bolivia Apolo Latin America Microlot,0
Ethiopia Natural Guji Kercha Lot Riverside,0
Flowery Nekisse,0
Panama Baru Geisha Black,0
Ethiopia FTO,0
Rwanda Triple-Washed,0
Panama Cantar Dorado Ruisenor,0
Ethiopia Anaerobic Natural,0
Ethiopia Kayon Mountain Washed,0
Kenya Gatomboya,0
Guatemala Huehuetenango Miralvalle Washed,0
Ethiopia Guji Laayyoo Natural,0
Gatugi Triple,0
Finca Santa Isabel,0
Gelena Geisha,0
Ethiopia Gera Limmu Oromia,0
El Salvador Finca Nombre de Dios Honey,0
Phu-Long-Kong,0
Guatemala Acatenango Gesha Lot #209,0
Ethiopia Yirgacheffe Cleopatra Natural,0
Ethiopia “Ear Candy” Uraga Guji,0
Thailand Pink Valley Natural,0
Kona Pointu Laurina,0
Minas Gerais Isaias Ferreira No. 2,0
Hunkute by Nordic Approach,0
Ethiopia Bench Maji Gesha Special Natural Lot 03,0
La Joya,0
Ethiopia Hateso Guji Washed,0
Brazil Chapada Diamantina Fazenda Floresta,0
Panama Mama Cata Typica,0
Mandheling Onan Ganjang,0
FTO Ethiopian,0
Ethiopia Gogogu Bekaka #4,0
Ethiopia Natural Yirgacheffe Adado Shara,0
Karen J Kona Red Bourbon Natural Anaerobic,0
Tano Batak Sumatra,0
Burundi Buhorwa,0
Kiniyota Burundi,0
Kenya Nyeri,0
Gedeb Ethiopia,0
COE Brazil Naturals 2017 Sitio Esperanza 7th place,0
Kenya Nyeri Asali Peaberry,0
Finca El Pintado,0
Andi Sumatra,0
El Salvador Finca El Cerro Pacamara Black Honey,0
Ethiopia Misti Valley,0
Costa Rica La Pastora Honey,0
Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,0
Blue Label La Esmeralda Porton Pascua Gesha,0
Static Kenya Kavutiri,0
Kenya AA Top Gachatha,0
Colombia La Virgen Microlot,0
Guji Hamasho Washed,0
Static Colombia Decaf Midnight,0
Ethiopia Nectar Natural,0
Colombia El Obraje Gesha,0
Sabana Redonda SL28 Costa Rica,0
Honduras Finca Cerro Azul Yellow Pacas,0
Ethiopia Sidama Ardi,0
Rayo del Sol,0
Finca La Aurora Camilina Geisha,0
Ethiopia Violent Andromeda Natural,1
Karindundu Kenya,1
Ethiopia Shantawene Washed,1
San Sebastian Colombia,1
